circRNA_DB	hg19	hg38	gene_symbol	genomic_length	transcript_id	spliced_length	exon_number	exon_sizes	exon_offsets	samples	pubmed_id
hsa_circ_00605	chr19:726137-727694|+	chr19:726137-727694|+	PALM	1557	NM_002579	264	3	52,81,131	0,870,1426	normal brain tissue	26873924
hsa_circ_00829	chr9:7011697-7015929|+	chr9:7011697-7015929|+	KDM4C	4232	NM_001146694	473	3	182,214,77	0,2090,4155	normal brain tissue	26873924
hsa_circ_01577	chr9:6880011-6893232|+	chr9:6880011-6893232|+	KDM4C	13221	NM_001146694	292	3	50,104,138	0,7948,13083	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_02732	chr9:3330258-3395596|-	chr9:3330258-3395596|-	RFX3	65338	NM_002919	482	3	259,98,125	0,16408,65213	normal brain tissue,glioblastoma	26873924
hsa_circ_02881	chr9:3879426-3932470|-	chr9:3879426-3932470|-	GLIS3	53044	NM_001042413	425	3	169,145,111	0,19264,52933	glioblastoma,oligodendroma	26873924
hsa_circ_03615	chr18:196636-203190|+	chr18:196636-203190|+	USP14	6554	NM_001037334	572	6	131,81,86,115,66,93	0,979,1410,2565,6243,6461	Hs68	23249747
hsa_circ_03922	chr11:755878-760253|+	chr11:755878-760253|+	TALDO1	4375	NM_006755	364	3	124,108,132	0,3071,4243	H9 hESCs,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_04570	chr9:4823547-4833228|+	chr9:4823547-4833228|+	RCL1	9681	NM_005772	323	3	72,176,75	0,3310,9606	H9 hESCs,Hs68	25242744,23249747
hsa_circ_04681	chr9:2191265-2192802|+	chr9:2191265-2192802|+	SMARCA2	1537	NM_003070	242	2	143,99	0,1438	Hs68	23249747
hsa_circ_07933	chr9:710803-713464|+	chr9:710803-713464|+	KANK1	2661	NM_153186	2661	1	2661	0	H9 hESCs,Hs68	25242744,23249747
hsa_circ_08541	chr19:501668-501929|+	chr19:501668-501929|+	MADCAM1	261	NM_130760	261	1	261	0	normal brain tissue	26873924
hsa_circ_08595	chr9:4286037-4286523|-	chr9:4286037-4286523|-	GLIS3	486	NM_001042413	486	1	486	0	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_09490	chr6:592468-619543|-	chr6:592468-619543|-	EXOC2	27075	NR_073064	770	7	119,103,82,146,81,125,114	0,5552,6391,6611,17629,25242,26961	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_09551	chr9:4117767-4118881|-	chr9:4117767-4118881|-	GLIS3	1114	NM_152629	1114	1	1114	0	glioblastoma,Hs68	26873924,23249747
hsa_circ_10371	chr9:6849506-6893232|+	chr9:6849506-6893232|+	KDM4C	43726	NM_015061	486	4	194,50,104,138	0,30505,38453,43588	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_12698	chr9:4629090-4646528|-	chr9:4629090-4646528|-	SPATA6L	17438	uc003zil.3	245	3	78,125,42	0,6184,17396	H9 hESCs	25242744
hsa_circ_14485	chr18:196636-204692|+	chr18:196636-204692|+	USP14	8056	NM_005151	701	7	131,81,86,115,66,93,129	0,979,1410,2565,6243,6461,7927	H9 hESCs,Hs68	25242744,23249747
hsa_circ_14539	chr9:8504260-8525035|-	chr9:8504260-8525035|-	PTPRD	20775	NM_130391	1254	6	145,134,582,270,12,111	0,3040,13587,17016,19252,20664	normal brain tissue,oligodendroma	26873924
hsa_circ_16335	chr9:6420911-6434173|+	chr9:6420911-6434173|+	UHRF2	13262	NM_152896	491	2	231,260	0,13002	H9 hESCs,glioblastoma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_17183	chr9:8436591-8460571|-	chr9:8436591-8460571|-	PTPRD	23980	NM_001171025	414	4	98,42,113,161	0,606,13133,23819	normal brain tissue	26873924
hsa_circ_17479	chr9:734747-740934|+	chr9:734747-740934|+	KANK1	6187	NM_001256876	451	3	88,220,143	0,3537,6044	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_18152	chr9:271626-289581|+	chr9:271626-289581|+	DOCK8	17955	NM_203447	351	3	103,176,72	0,14834,17883	leukemia	22319583
hsa_circ_18339	chr9:4544566-4576763|+	chr9:4544566-4576763|+	SLC1A1	32197	NM_004170	1102	9	141,93,115,43,99,185,108,123,195	0,16882,19777,21480,23102,27637,29340,31434,32002	normal brain tissue	26873924
hsa_circ_19536	chr11:581491-582081|+	chr11:581491-582081|+	PHRF1	590	NM_020901	235	2	115,120	0,470	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,leukemia	25242744,26873924,22319583
hsa_circ_19593	chr19:325634-336173|-	chr19:325634-336173|-	MIER2	10539	NM_017550	646	6	70,92,124,126,143,91	0,872,1498,2229,8765,10448	Hs68	23249747
hsa_circ_20030	chr11:1000431-1003804|+	chr11:1000431-1003804|+	AP2A2	3373	NM_001242837	250	2	167,83	0,3290	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_20033	chr18:688573-706578|-	chr18:688573-706578|-	ENOSF1	18005	NM_202758	569	8	35,83,39,73,27,87,116,109	0,1975,2494,2630,5308,5674,8666,17896	normal brain tissue	26873924
hsa_circ_20311	chr9:6475390-6477808|+	chr9:6475390-6477808|+	UHRF2	2418	NM_152896	297	2	110,187	0,2231	H9 hESCs	25242744
hsa_circ_21495	chr6:629834-637861|-	chr6:629834-637861|-	EXOC2	8027	NM_018303	465	3	127,177,161	0,3106,7866	H9 hESCs	25242744
hsa_circ_21905	chr9:7015852-7049200|+	chr9:7015852-7049200|+	KDM4C	33348	NM_001146696	242	3	77,56,109	0,31009,33239	H9 hESCs	25242744
hsa_circ_22188	chr9:5732387-5738538|+	chr9:5732387-5738538|+	KIAA1432	6151	NM_001135920	181	2	92,89	0,6062	H9 hESCs,Hs68	25242744,23249747
hsa_circ_24558	chr9:4860124-4860901|+	chr9:4860124-4860901|+	RCL1	777	NM_005772	777	1	777	0	Hs68	23249747
hsa_circ_24884	chr18:196636-199316|+	chr18:196636-199316|+	USP14	2680	NM_001037334	413	4	131,81,86,115	0,979,1410,2565	H9 hESCs,Hs68	25242744,23249747
