circpedia	hg19	hg38	circname	gene_Ensembl	gene_Refseq	transcript_Ensembl	transcript_Refseq
CIRCHSA_ENOSF1_3	chr18:688573-706578|-	chr18:688573-706578|-	circENOSF1(2-9)	ENSG00000132199.20	ENOSF1	ENST00000647584.2	ENOSF1-222
CIRCHSA_DOCK8_8	chr9:271626-289581|+	chr9:271626-289581|+	circDOCK8(3,4,5)	ENSG00000107099.18	DOCK8	ENST00000524396.5	DOCK8-217
CIRCHSA_MADCAM1_1	chr19:501668-501929|+	chr19:501668-501929|+	circMADCAM1(2)	ENSG00000099866.16	MADCAM1	ENST00000587541.5	MADCAM1-204
CIRCHSA_PTPRD_18	chr9:8460410-8471085|-	chr9:8460410-8471085|-	circPTPRD(31,32,33)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_94	chr9:8404536-8460571|-	chr9:8404536-8460571|-	circPTPRD(33-36)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_98	chr9:9938506-10033790|-	chr9:9938506-10033790|-	circPTPRD(4,5)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_ENOSF1_20	chr18:683245-690631|-	chr18:683245-690631|-	circENOSF1(8-11)	ENSG00000132199.20	ENOSF1	ENST00000647584.2	ENOSF1-222
CIRCHSA_PHRF1_1	chr11:581491-582081|+	chr11:581491-582081|+	circPHRF1(2,3)	ENSG00000070047.13	PHRF1	ENST00000416188.3	PHRF1-203
CIRCHSA_RFX3_27	chr9:3293076-3330517|-	chr9:3293076-3330517|-	circRFX3(5,6,7)	ENSG00000080298.16	RFX3	ENST00000382004.7	RFX3-204
CIRCHSA_AP2A2_17	chr11:1000431-1003804|+	chr11:1000431-1003804|+	circAP2A2(15,16)	ENSG00000183020.15	AP2A2	ENST00000332231.9	AP2A2-201
CIRCHSA_PTPRD_28	chr9:8633316-8733946|-	chr9:8633316-8733946|-	circPTPRD(12,13,14)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_CBWD1_1	chr9:162431-172172|-	chr9:162431-172172|-	circCBWD1(4,5,6)	ENSG00000172785.19	CBWD1	ENST00000356521.9	CBWD1-202
CIRCHSA_TALDO1_1	chr11:755878-760253|+	chr11:755878-760253|+	circTALDO1(3,4,5)	ENSG00000177156.11	TALDO1	ENST00000528070.5	TALDO1-202
CIRCHSA_KDM4C_17	chr9:7011697-7015929|+	chr9:7011697-7015929|+	circKDM4C(13,14,15)	ENSG00000107077.19	KDM4C	ENST00000536108.5	KDM4C-214
CIRCHSA_PTPRD_3	chr9:8633316-8636844|-	chr9:8633316-8636844|-	circPTPRD(13,14)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_9	chr9:8460410-8492979|-	chr9:8460410-8492979|-	circPTPRD(27-33)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_SPATA6L_15	chr9:4600652-4629168|-	chr9:4600652-4629168|-	circSPATA6L(6-12)	ENSG00000106686.17	SPATA6L	ENST00000485616.5	SPATA6L-208
CIRCHSA_KDM4C_141	chr9:7128065-7169890|+	chr9:7128065-7169890|+	circKDM4C(19,20,21)	ENSG00000107077.19	KDM4C	ENST00000381309.8	KDM4C-202
CIRCHSA_USP14_8	chr18:196636-199316|+	chr18:196636-199316|+	circUSP14(6-9)	ENSG00000101557.15	USP14	ENST00000582707.5	USP14-208
CIRCHSA_USP14_9	chr18:196636-204692|+	chr18:196636-204692|+	circUSP14(6-12)	ENSG00000101557.15	USP14	ENST00000582707.5	USP14-208
CIRCHSA_PTPRD_31	chr9:8521276-8528779|-	chr9:8521276-8528779|-	circPTPRD(15-20)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_33	chr9:8375935-8376726|-	chr9:8375935-8376726|-	circPTPRD(38,39)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_39	chr9:8389231-8449837|-	chr9:8389231-8449837|-	circPTPRD(34-37)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_IL33_5	chr9:6250473-6251265|+	chr9:6250473-6251265|+	circIL33(3,4)	ENSG00000137033.12	IL33	ENST00000682010.1	IL33-206
CIRCHSA_JAK2_1	chr9:5021962-5055788|+	chr9:5021962-5055788|+	circJAK2(3-8)	ENSG00000096968.14	JAK2	ENST00000636127.1	JAK2-204
CIRCHSA_CARM1P1_1	chr9:2943564-2948282|-	chr9:2943564-2948282|-	circCARM1P1(5,6)	ENSG00000227835.8	CARM1P1	ENST00000426329.6	CARM1P1-201
CIRCHSA_GLIS3_13	chr9:3879426-3932470|-	chr9:3879426-3932470|-	circGLIS3(5,6,7)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
