circbank	hg19	hg38	aliasID	exonNumber	Exons	circType	splicedLength	Assembly	geneID	geneSymbol	bestTranscriptID	Biotype	Tissue	Age	samples	HighConfidence	source
hsa_SLC30A7_0001800	chr1:101372407-101387397|+	chr1:100906851-100921841|+	"hsa_circ_0000098	hsa_circSLC30A7_010	hsa-SLC30A7_0001"	6.0	"101372407-101372521	101376618-101376706	101377667-101377794	101379218-101379362	101383632-101383683	101387261-101387397"	Exon-Exon	660	hg19	ENSG00000162695.7	SLC30A7	ENST00000370112.4	protein_coding					
hsa_EXOSC10_0002000	chr1:11130956-11137005|-	chr1:11070899-11076948|-	"hsa_circ_0009759	hsa_circEXOSC10_023	hsa-EXOSC10_0001"	5.0	"11130956-11131030	11132143-11132228	11133990-11134065	11134287-11134383	11136898-11137005"	Exon-Exon	437	hg19	ENSG00000171824.9	EXOSC10	ENST00000376936.4	protein_coding					
hsa_ST7L_0015700	chr1:113143415-113153625|-	chr1:112600793-112611003|-	"hsa_circ_0000108	hsa_circST7L_014	hsa-ST7L_0039"	2.0	"113143415-113143470	113153462-113153625"	Exon-Exon	218	hg19	ENSG00000007341.14	ST7L	ENST00000369664.1	protein_coding					
hsa_CAPZA1_0001800	chr1:113196219-113202401|+	chr1:112653597-112659779|+	"hsa_circ_0000109	hsa_circCAPZA1_010	hsa-CAPZA1_0004"	4.0	"113196219-113196283	113197086-113197293	113201643-113201723	113202322-113202401"	Exon-Exon	430	hg19	ENSG00000116489.8	CAPZA1	ENST00000263168.3	protein_coding					
hsa_LRIG2_0003400	chr1:113633939-113642904|+	chr1:113091317-113100282|+	hsa-LRIG2_0081			Exon-Exon	1005	hg19	ENSG00000198799.7	LRIG2	ENST00000361127.5	protein_coding					
hsa_SDF4_0000800	chr1:1158623-1159348|-	chr1:1223243-1223968|-	"hsa_circ_0000002	hsa_circSDF4_003	hsa-SDF4_0001"	2.0	"1158623-1158737	1159211-1159348"	Exon-Exon	251	hg19	ENSG00000078808.12	SDF4	ENST00000263741.7	protein_coding					
hsa_SDF4_0000900	chr1:1158623-1164326|-	chr1:1223243-1228946|-	"hsa_circ_0009244	hsa_circSDF4_001	hsa-SDF4_0002"	3.0	"1158623-1158737	1159211-1159348	1163847-1164326"	Exon-Exon	730	hg19	ENSG00000078808.12	SDF4	ENST00000263741.7	protein_coding					
hsa_VPS13D_0032600	chr1:12460237-12476880|+	chr1:12400180-12416827|+	"hsa_circ_0004222	hsa_circVPS13D_083	hsa-VPS13D_0005"	5.0	"12460237-12460387	12461660-12461757	12463877-12464026	12475139-12475274	12476712-12476880"	Exon-Exon	699	hg19	ENSG00000048707.9	VPS13D	ENST00000358136.3	protein_coding					
hsa_PRDM2_0003400	chr1:14057494-14076981|+	chr1:13730999-13750486|+	hsa-PRDM2_0026			Intron-Exon-Intron	1501	hg19	ENSG00000116731.18	PRDM2	ENST00000311066.5	protein_coding					
hsa_RNF115_0001300	chr1:145640882-145650540|+	chr1:145784538-145794196|-	"hsa_circ_0110703	hsa_circRNF115_001"	2.0	"145640882-145646173	145650482-145650540"	Intron-Exon-Intron	5349	hg19	ENSG00000121848.9	RNF115	ENST00000369291.5	protein_coding					
