exorbase	hg19	hg38	circBase ID	Gene symbol	Gene type	Sample type	Tumor frequency of EVPs(Sample number)	Benign frequency of EVPs(Sample number)	Healthy frequency of EVPs(Sample number)	Urine frequency of EVPs(Sample number)	CSF frequency of EVPs(Sample number)	Bile frequency of EVPs(Sample number)	Tumor frequency(Sample number)	Healthy frequency(Sample number)	Urine frequency(Sample number)	CSF frequency(Sample number)	Tumor mean(EVPs)	Benign mean(EVPs)	Healthy mean(EVPs)	Urine mean(EVPs)	CSF mean(EVPs)	Bile mean(EVPs)	Tumor mean	Healthy mean	Urine mean	CSF mean	Diff group
exo_circ_000357	chr1:1158623-1159348|-	chr1:1223243-1223968|-	hsa_circ_0000002	SDF4	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.803(1552)	0.731(372)	0.746(244)	0.616(125)	0.4(5)	0.286(21)	0.099(385)	0.023(175)	0(30)	0(4)	60.734536	56.27957	44.840164	4.60834	12.6	10.142857	0.677922	0.08	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in KIRC(up);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CRC(up);GC(up)
exo_circ_000497	chr1:2234416-2236024|+	chr1:2302977-2304585|+	hsa_circ_0007120	SKI	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.089(1552)	0.086(372)	0.041(244)	0.088(125)	0(5)	0(21)	0.075(385)	0.109(175)	0.033(30)	0(4)	1.972294	2.52957	0.72541	0.033103	0.0	0.0	0.483117	0.868571	0.166667	0.0	EVPs in BRCA(up);EVPs in CRC(up);EVPs in OV(up);EVPs in SCLC(up)
exo_circ_000667	chr1:8555122-8674745|-	chr1:8495062-8614686|-	hsa_circ_0009117	RERE	protein coding gene	Blood;EVPs in Blood;EVPs in CSF;EVPs in Urine	0.141(1552)	0.11(372)	0.135(244)	0.336(125)	0.2(5)	0(21)	0.073(385)	0.034(175)	0(30)	0(4)	2.25	2.889785	3.036885	0.666043	9.4	0.0	1.028571	1.0	0.0	0.0	EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down)
exo_circ_000692	chr1:8674619-8716500|-	chr1:8614560-8656441|-	hsa_circ_0005039	RERE	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.254(1552)	0.199(372)	0.209(244)	0.384(125)	0(5)	0.19(21)	0.016(385)	0.04(175)	0(30)	0(4)	5.816366	6.112903	5.122951	1.723315	0.0	1.857143	0.132468	0.228571	0.0	0.0	EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);CRC(down)
exo_circ_000754	chr1:9991948-9994918|-	chr1:9931890-9934860|-	hsa_circ_0000014	LZIC	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.781(1552)	0.755(372)	0.857(244)	0.584(125)	0.4(5)	0.286(21)	0.829(385)	0.869(175)	0.5(30)	0(4)	73.097294	65.41129	74.946721	3.021026	27.8	5.952381	582.976623	362.862857	40.033333	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);CRC(up);CSF(down);NSCLC(up);MM(up);Urine(down)
exo_circ_000865	chr1:11130956-11137005|-	chr1:11070899-11076948|-	hsa_circ_0009759	EXOSC10	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.042(1552)	0.027(372)	0.02(244)	0.072(125)	0(5)	0(21)	0.166(385)	0.171(175)	0(30)	0(4)	0.719072	1.134409	0.147541	0.355533	0.0	0.0	0.571429	0.748571	0.0	0.0	CHB(down);Urine(down)
exo_circ_000943	chr1:12460237-12476880|+	chr1:12400180-12416827|+	hsa_circ_0004222	VPS13D	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.032(1552)	0.027(372)	0.049(244)	0.048(125)	0(5)	0(21)	0.153(385)	0.126(175)	0(30)	0(4)	0.653351	0.83871	1.086066	0.00932	0.0	0.0	0.690909	0.542857	0.0	0.0	Urine(down)
exo_circ_000958	chr1:14057494-14076981|+	chr1:13730999-13750486|+	NA	PRDM2	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.005(1552)	0.005(372)	0.012(244)	0.008(125)	0(5)	0(21)	0.003(385)	0.011(175)	0(30)	0(4)	0.024485	0.115591	0.098361	0.000508	0.0	0.0	0.005195	0.028571	0.0	0.0	NA
exo_circ_001100	chr1:16632297-16641930|-	chr1:16305802-16315435|-	hsa_circ_0010146	FBXO42	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.062(1552)	0.046(372)	0.057(244)	0.096(125)	0(5)	0(21)	0.353(385)	0.274(175)	0.067(30)	0(4)	1.199098	0.766129	0.45082	0.03289	0.0	0.0	2.361039	2.114286	0.166667	0.0	CHB(down);CSF(down);HCC(down);MGUS(down);GC(up);Urine(down)
exo_circ_001200	chr1:21071236-21076375|-	chr1:20744743-20749882|-	hsa_circ_0007296	HP1BP3	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.009(1552)	0.008(372)	0.004(244)	0.008(125)	0(5)	0(21)	0.065(385)	0.04(175)	0(30)	0(4)	0.064433	0.11828	0.032787	0.00073	0.0	0.0	0.249351	0.08	0.0	0.0	NA
exo_circ_001205	chr1:21071236-21107033|-	chr1:20744743-20780540|-	NA	HP1BP3	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.037(1552)	0.038(372)	0.025(244)	0.168(125)	0(5)	0(21)	0.358(385)	0.337(175)	0.133(30)	0(4)	0.503222	0.346774	0.561475	0.063969	0.0	0.0	2.698701	2.4	0.933333	0.0	EVPs in NSCLC(down);EVPs in Urine(down);CHB(down)
exo_circ_001213	chr1:21076215-21100103|-	chr1:20749722-20773610|-	hsa_circ_0000023	HP1BP3	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.294(1552)	0.25(372)	0.291(244)	0.288(125)	0(5)	0.048(21)	0.618(385)	0.491(175)	0.033(30)	0(4)	4.705541	4.352151	3.913934	0.327889	0.0	1.571429	5.561039	4.325714	0.066667	0.0	EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in SCLC(up);CHB(down);NSCLC(up);MM(up);Urine(down)
