exorbase	hg19	hg38	circBase ID	Gene symbol	Gene type	Sample type	Tumor frequency of EVPs(Sample number)	Benign frequency of EVPs(Sample number)	Healthy frequency of EVPs(Sample number)	Urine frequency of EVPs(Sample number)	CSF frequency of EVPs(Sample number)	Bile frequency of EVPs(Sample number)	Tumor frequency(Sample number)	Healthy frequency(Sample number)	Urine frequency(Sample number)	CSF frequency(Sample number)	Tumor mean(EVPs)	Benign mean(EVPs)	Healthy mean(EVPs)	Urine mean(EVPs)	CSF mean(EVPs)	Bile mean(EVPs)	Tumor mean	Healthy mean	Urine mean	CSF mean	Diff group
exo_circ_047350	chr6:629834-637861|-	chr6:629834-637861|-	hsa_circ_0075445	EXOC2	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.015(1552)	0.013(372)	0.004(244)	0.008(125)	0(5)	0.048(21)	0.013(385)	0.011(175)	0(30)	0(4)	0.319588	0.102151	0.004098	0.00036	0.0	0.142857	0.031169	0.028571	0.0	0.0	NA
exo_circ_047353	chr6:744851-750755|+	chr6:744851-750755|+	NA	AL357054.2	lncRNA gene	Blood;EVPs in Blood;EVPs in Urine	0.005(1552)	0.005(372)	0(244)	0.008(125)	0(5)	0(21)	0.052(385)	0.029(175)	0(30)	0(4)	0.037371	0.048387	0.0	0.000445	0.0	0.0	0.148052	0.205714	0.0	0.0	EVPs in HCC(up)
exo_circ_047354	chr6:746309-750755|+	chr6:746309-750755|+	NA	AL357054.2	lncRNA gene	Blood;EVPs in Blood;EVPs in Urine	0.005(1552)	0(372)	0(244)	0.008(125)	0(5)	0(21)	0.018(385)	0.006(175)	0(30)	0(4)	0.071521	0.0	0.0	0.000423	0.0	0.0	0.064935	0.005714	0.0	0.0	NA
exo_circ_065897	chr9:162431-172172|-	chr9:162431-172172|-	hsa_circ_0005769	CBWD1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.017(1552)	0.003(372)	0.016(244)	0.184(125)	0(5)	0(21)	0.322(385)	0.28(175)	0.033(30)	0(4)	0.023196	0.002688	0.016393	0.116008	0.0	0.0	2.488312	0.742857	0.033333	0.0	EVPs in Urine(up);CHB(down);Urine(down)
exo_circ_065911	chr9:271626-289581|+	chr9:271626-289581|+	hsa_circ_0086188	DOCK8	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.236(1552)	0.188(372)	0.184(244)	0.24(125)	0.2(5)	0.048(21)	0.439(385)	0.371(175)	0.233(30)	0(4)	6.068299	4.034946	5.782787	0.21147	10.8	0.238095	3.802597	2.8	1.633333	0.0	EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);CHB(down)
exo_circ_065957	chr9:710803-713464|+	chr9:710803-713464|+	hsa_circ_0005062	KANK1	protein coding gene	EVPs in Blood;EVPs in Bile;EVPs in Urine	0.015(1552)	0.005(372)	0.012(244)	0.376(125)	0(5)	0.048(21)	0.003(385)	0.006(175)	0(30)	0(4)	0.236469	0.008065	0.922131	0.516701	0.0	0.809524	0.007792	0.011429	0.0	0.0	NA
exo_circ_065960	chr9:734747-740934|+	chr9:734747-740934|+	hsa_circ_0007075	KANK1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.028(1552)	0.019(372)	0.025(244)	0.112(125)	0(5)	0(21)	0.106(385)	0.137(175)	0(30)	0(4)	0.439433	0.438172	0.204918	0.0367	0.0	0.0	0.438961	0.508571	0.0	0.0	EVPs in NSCLC(down);EVPs in Urine(down)
exo_circ_065997	chr9:2096656-2110417|+	chr9:2096656-2110417|+	NA	SMARCA2	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.023(1552)	0.024(372)	0.033(244)	0.016(125)	0(5)	0(21)	0.005(385)	0.006(175)	0(30)	0(4)	0.286727	0.430108	0.540984	0.001621	0.0	0.0	0.038961	0.085714	0.0	0.0	EVPs in BRCA(down)
exo_circ_066024	chr9:2191265-2192802|+	chr9:2191265-2192802|+	hsa_circ_0006082	SMARCA2	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.549(1552)	0.487(372)	0.549(244)	0.304(125)	0(5)	0.238(21)	0.808(385)	0.8(175)	0.267(30)	0(4)	27.010954	24.978495	27.22541	0.459722	0.0	2.190476	83.397403	62.537143	3.4	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);CSF(down);Liver_Cirrhosis(down);MGUS(down);Urine(down)
exo_circ_066035	chr9:2782755-2783594|-	chr9:2782755-2783594|-	NA	PUM3	protein coding gene	Blood;EVPs in Urine	0.001(1552)	0(372)	0(244)	0.016(125)	0(5)	0(21)	0.021(385)	0.023(175)	0(30)	0(4)	0.000644	0.0	0.0	0.006284	0.0	0.0	0.038961	0.051429	0.0	0.0	NA
exo_circ_066061	chr9:2943564-2948282|-	chr9:2943564-2948282|-	NA	CARM1P1	pseudogene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.001(1552)	0(372)	0.004(244)	0.08(125)	0(5)	0(21)	0.008(385)	0(175)	0.033(30)	0(4)	0.076031	0.0	0.045082	0.016022	0.0	0.0	0.01039	0.0	0.433333	0.0	EVPs in Urine(up)
