hg38	miRNA	algorithm	MRE_start	MRE_end	site_type	score	MFE
chr1:1033786-1037151	miR-4492	TargetScan,miRanda	36.0	42.0	7mer-m8	187.0	-51.1
chr1:1033786-1037151	miR-4498	TargetScan,miRanda	36.0	42.0	7mer-m8	187.0	-51.1
chr1:1033786-1037151	miR-762	TargetScan,miRanda	36.0	42.0	7mer-m8	187.0	-51.1
chr1:11790400-11790597	miR-6089	TargetScan,miRanda	24.0	30.0	7mer-m8	184.0	-51.18
chr1:12578941-12579308	miR-6730-3p	TargetScan,miRanda	31.0	37.0	7mer-m8	200.0	-51.91
chr1:154260891-154261109	miR-6089	TargetScan,miRanda	46.0	52.0	7mer-m8	184.0	-51.54
chr1:155314753-155316496	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr1:1629669-1630564	miR-1469	TargetScan,miRanda	79.0	85.0	7mer-m8	175.0	-51.32
chr1:1629676-1630577	miR-1469	TargetScan,miRanda	92.0	98.0	7mer-m8	175.0	-51.32
chr1:1630374-1630577	miR-1469	TargetScan,miRanda	92.0	98.0	7mer-m8	175.0	-51.32
chr1:16327985-16337630	miR-1972	TargetScan,miRanda	26.0	32.0	7mer-m8	200.0	-50.1
chr1:17029941-17037876	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr1:17032481-17037876	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr1:25808579-25811879	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	180.0	-52.68
chr1:25808580-25811879	miR-6089	TargetScan,miRanda	20.0	26.0	7mer-m8	180.0	-52.68
chr1:29182863-29184864	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr1:31793746-31798643	miR-6089	TargetScan,miRanda	32.0	37.0	6mer	181.0	-53.82
chr1:36224505-36224715	miR-6089	TargetScan,miRanda	91.0	97.0	7mer-m8	181.0	-50.77
chr1:36224533-36224698	miR-6089	TargetScan,miRanda	74.0	80.0	7mer-m8	181.0	-50.77
chr1:50594099-50594657	miR-6089	TargetScan,miRanda	32.0	38.0	7mer-m8	183.0	-51.08
chr1:6532033-6554270	miR-6089	TargetScan,miRanda	40.0	46.0	7mer-m8	185.0	-50.17
chr1:6549570-6554272	miR-6089	TargetScan,miRanda	42.0	48.0	7mer-m8	185.0	-50.17
chr1:6550497-6554265	miR-6089	TargetScan,miRanda	35.0	41.0	7mer-m8	185.0	-50.17
