circpedia	hg19	hg38	circname	gene_Ensembl	gene_Refseq	transcript_Ensembl	transcript_Refseq
CIRCHSA_PUM1_99	chr1:31465236-31468067|-	chr1:30992389-30995220|-	circPUM1(6,7)	ENSG00000134644.16	PUM1	ENST00000257075.9	PUM1-201
CIRCHSA_SUCLG1_4	chr2:84652538-84676876|-	chr2:84425414-84449752|-	circSUCLG1(2-8)	ENSG00000163541.12	SUCLG1	ENST00000393868.7	SUCLG1-201
CIRCHSA_SOGA1_5	chr20:35421651-35467844|-	chr20:36793248-36839441|-	circSOGA1(2-14)	ENSG00000149639.15	SOGA1	ENST00000237536.9	SOGA1-201
CIRCHSA_NSD1_12	chr5:176636636-176639196|+	chr5:177209635-177212195|+	circNSD1(5)	ENSG00000165671.22	NSD1	ENST00000689549.1	NSD1-225
CIRCHSA_CCDC47_4	chr17:61841375-61843554|-	chr17:63764015-63766194|-	circCCDC47(2,3,4)	ENSG00000108588.15	CCDC47	ENST00000225726.10	CCDC47-201
CIRCHSA_NCOA1_1	chr2:24787163-24807429|+	chr2:24564294-24584560|+	circNCOA1(2,3)	ENSG00000084676.16	NCOA1	ENST00000348332.8	NCOA1-202
CIRCHSA_ACAP2_14	chr3:195047613-195066046|-	chr3:195326884-195345317|-	circACAP2(5-9)	ENSG00000114331.16	ACAP2	ENST00000326793.11	ACAP2-201
CIRCHSA_METTL8_3	chr2:172193962-172196064|-	chr2:171337452-171339554|-	circMETTL8(4,5)	ENSG00000123600.21	METTL8	ENST00000375258.9	METTL8-201
CIRCHSA_LRP5L_4	chr22:25771779-25777545|-	chr22:25375812-25381578|-	circLRP5L(2,3)	ENSG00000100068.14	LRP5L	ENST00000444995.7	LRP5L-202
CIRCHSA_MACF1_4	chr1:39816456-39824936|+	chr1:39350784-39359264|+	circMACF1(38-42)	ENSG00000127603.32	MACF1	ENST00000361689.7	MACF1-203
CIRCHSA_ATP9B_3	chr18:76856475-76886375|+	chr18:79096475-79126375|+	circATP9B(2-5)	ENSG00000166377.21	ATP9B	ENST00000586366.5	ATP9B-205
CIRCHSA_RREB1_3	chr6:7181356-7189555|+	chr6:7181123-7189322|+	circRREB1(3-6)	ENSG00000124782.21	RREB1	ENST00000379933.7	RREB1-203
CIRCHSA_SMAD2_4	chr18:45394693-45423180|-	chr18:47868322-47896809|-	circSMAD2(2-5)	ENSG00000175387.16	SMAD2	ENST00000262160.11	SMAD2-201
CIRCHSA_POM121_1	chr7:72361165-72361649|+	chr7:72890626-72891110|+	circPOM121(2,3)	ENSG00000196313.13	POM121	ENST00000627934.3	POM121-203
CIRCHSA_CTBP2_15	chr10:126727565-126799662|-	chr10:125038996-125111093|-	circCTBP2(2,3)	ENSG00000175029.17	CTBP2	ENST00000337195.9	CTBP2-203
CIRCHSA_SLC4A7_2	chr3:27424643-27493989|-	chr3:27383152-27452498|-	circSLC4A7(2-27)	ENSG00000033867.17	SLC4A7	ENST00000425128.6	SLC4A7-203
CIRCHSA_SLCO4A1_13	chr20:61292415-61296440|+	chr20:62661063-62665088|+	circSLCO4A1(5,6)	ENSG00000101187.16	SLCO4A1	ENST00000217159.6	SLCO4A1-201
CIRCHSA_SIPA1L3_14	chr19:38571895-38579491|+	chr19:38081255-38088851|+	circSIPA1L3(3,4)	ENSG00000105738.11	SIPA1L3	ENST00000222345.11	SIPA1L3-201
CIRCHSA_VPS54_15	chr2:64189191-64211153|-	chr2:63962057-63984019|-	circVPS54(2-7)	ENSG00000143952.20	VPS54	ENST00000409558.8	VPS54-203
CIRCHSA_SMARCA5_5	chr4:144464661-144465125|+	chr4:143543508-143543972|+	circSMARCA5(15,16)	ENSG00000153147.6	SMARCA5	ENST00000283131.4	SMARCA5-201
CIRCHSA_PHF20_2	chr20:34430494-34446303|+	chr20:35842572-35858381|+	circPHF20(3,4,5)	ENSG00000025293.17	PHF20	ENST00000461122.5	PHF20-207
CIRCHSA_CNTLN_3	chr9:17235655-17236586|+	chr9:17235657-17236588|+	circCNTLN(4,5)	ENSG00000044459.15	CNTLN	ENST00000380641.4	CNTLN-201
CIRCHSA_XPO1_10	chr2:61712902-61717911|-	chr2:61485767-61490776|-	circXPO1(8-11)	ENSG00000082898.19	XPO1	ENST00000678113.1	XPO1-245
CIRCHSA_OLA1_1	chr2:174987907-175006728|-	chr2:174123179-174142000|-	circOLA1(5,6,7)	ENSG00000138430.16	OLA1	ENST00000284719.8	OLA1-201
CIRCHSA_WDR44_102	chrX:117521302-117527234|+	chrX:118387339-118393271|+	circWDR44(3,4)	ENSG00000131725.14	WDR44	ENST00000254029.8	WDR44-201
CIRCHSA_CFAP44_30	chr3:113118752-113125888|-	chr3:113399905-113407041|-	circCFAP44(8-13)	ENSG00000206530.11	CFAP44	ENST00000393845.9	CFAP44-202
CIRCHSA_UBAP2_23	chr9:33971648-33973235|-	chr9:33971650-33973237|-	circUBAP2(7,8)	ENSG00000137073.24	UBAP2	ENST00000379238.7	UBAP2-204
CIRCHSA_UBAP2_28	chr9:33986757-34017187|-	chr9:33986759-34017189|-	circUBAP2(2-6)	ENSG00000137073.24	UBAP2	ENST00000379238.7	UBAP2-204
CIRCHSA_SYK_13	chr9:93607715-93641235|+	chr9:90845433-90878953|+	circSYK(3-10)	ENSG00000165025.15	SYK	ENST00000375751.8	SYK-203
CIRCHSA_LRRFIP2_9	chr3:37162982-37190529|-	chr3:37121491-37149038|-	circLRRFIP2(2-6)	ENSG00000093167.18	LRRFIP2	ENST00000336686.9	LRRFIP2-201
CIRCHSA_ENOSF1_1	chr18:683245-706578|-	chr18:683245-706578|-	circENOSF1(2-11)	ENSG00000132199.20	ENOSF1	ENST00000647584.2	ENOSF1-222
CIRCHSA_LIFR_2	chr5:38510565-38530768|-	chr5:38510463-38530666|-	circLIFR(2-7)	ENSG00000113594.10	LIFR	ENST00000453190.7	LIFR-202
CIRCHSA_MED13L_4	chr12:116534473-116549317|-	chr12:116096668-116111512|-	circMED13L(3,4)	ENSG00000123066.9	MED13L	ENST00000281928.9	MED13L-201
CIRCHSA_CD163L1_3	chr12:7556130-7586290|-	chr12:7403534-7433694|-	circCD163L1(3-6)	ENSG00000177675.9	CD163L1	ENST00000313599.8	CD163L1-201
CIRCHSA_RNF19B_3	chr1:33413822-33415375|-	chr1:32948221-32949774|-	circRNF19B(2,3)	ENSG00000116514.17	RNF19B	ENST00000373456.11	RNF19B-203
CIRCHSA_GART_85	chr21:34906884-34911662|-	chr21:33534578-33539356|-	circGART(2,3,4)	ENSG00000159131.17	GART	ENST00000381839.7	GART-205
CIRCHSA_TRIO_13	chr5:14405956-14420130|+	chr5:14405847-14420021|+	circTRIO(32,33,34)	ENSG00000038382.22	TRIO	ENST00000698541.1	TRIO-225
CIRCHSA_ABCC4_2	chr13:95686858-95715113|-	chr13:95034604-95062859|-	circABCC4(26-30)	ENSG00000125257.16	ABCC4	ENST00000645237.2	ABCC4-214
