hg38,miRNA
chr1:19344357-19357563,let-7a-5p
chr1:19344357-19357563,let-7b-5p
chr1:19344357-19357563,let-7c-5p
chr1:19344357-19357563,let-7d-5p
chr1:19344357-19357563,let-7e-5p
chr1:19344357-19357563,let-7f-5p
chr1:19344357-19357563,let-7g-5p
chr1:19344357-19357563,let-7i-5p
chr1:19344357-19357563,miR-122-3p
chr1:19344357-19357563,miR-1245b-3p
chr1:19344357-19357563,miR-1248
chr1:19344357-19357563,miR-1251-5p
chr1:19344357-19357563,miR-128-3p
chr1:19344357-19357563,miR-1287-5p
chr1:19344357-19357563,miR-1288-5p
chr1:19344357-19357563,miR-129-5p
chr1:19344357-19357563,miR-1301-5p
chr1:19344357-19357563,miR-136-5p
chr1:19344357-19357563,miR-136-5p
chr1:19344357-19357563,miR-17-3p
chr1:19344357-19357563,miR-1910-3p
chr1:19344357-19357563,miR-1915-3p
chr1:19344357-19357563,miR-196-5p
chr1:19344357-19357563,miR-202-5p
chr1:19344357-19357563,miR-2467-3p
chr1:19344357-19357563,miR-27a-3p
chr1:19344357-19357563,miR-27b-3p
chr1:19344357-19357563,miR-29a-5p
chr1:19344357-19357563,miR-3138
chr1:19344357-19357563,miR-3145-5p
chr1:19344357-19357563,miR-337-3p
chr1:19344357-19357563,miR-338-3p
chr1:19344357-19357563,miR-345-5p
chr1:19344357-19357563,miR-3605-5p
chr1:19344357-19357563,miR-3614-3p
chr1:19344357-19357563,miR-362-5p
chr1:19344357-19357563,miR-3672
chr1:19344357-19357563,miR-3679-5p
chr1:19344357-19357563,miR-3685
chr1:19344357-19357563,miR-375
chr1:19344357-19357563,miR-379-5p
chr1:19344357-19357563,miR-379-5p
chr1:19344357-19357563,miR-384
chr1:19344357-19357563,miR-3909
chr1:19344357-19357563,miR-3927-3p
chr1:19344357-19357563,miR-4257
chr1:19344357-19357563,miR-4274
chr1:19344357-19357563,miR-4431
chr1:19344357-19357563,miR-4451
chr1:19344357-19357563,miR-4519
chr1:19344357-19357563,miR-4520-3p
chr1:19344357-19357563,miR-4524-5p
chr1:19344357-19357563,miR-4524b-3p
chr1:19344357-19357563,miR-4650-3p
chr1:19344357-19357563,miR-4708-5p
chr1:19344357-19357563,miR-4712-3p
chr1:19344357-19357563,miR-4733-5p
chr1:19344357-19357563,miR-4777-5p
chr1:19344357-19357563,miR-483-3p
chr1:19344357-19357563,miR-488-5p
chr1:19344357-19357563,miR-491-5p
chr1:19344357-19357563,miR-501-5p
chr1:19344357-19357563,miR-508-5p
chr1:19344357-19357563,miR-508-5p
chr1:19344357-19357563,miR-5100
chr1:19344357-19357563,miR-511-3p
chr1:19344357-19357563,miR-517-5p
chr1:19344357-19357563,miR-518c-5p
chr1:19344357-19357563,miR-518d-5p
chr1:19344357-19357563,miR-519-5p
chr1:19344357-19357563,miR-520g-5p
chr1:19344357-19357563,miR-525-5p
chr1:19344357-19357563,miR-5581-3p
chr1:19344357-19357563,miR-5586-5p
chr1:19344357-19357563,miR-5683
chr1:19344357-19357563,miR-5691
chr1:19344357-19357563,miR-625-3p
chr1:19344357-19357563,miR-640
chr1:19344357-19357563,miR-6502-5p
chr1:19344357-19357563,miR-6511a-5p
chr1:19344357-19357563,miR-653-5p
chr1:19344357-19357563,miR-6764-5p
chr1:19344357-19357563,miR-6782-3p
chr1:19344357-19357563,miR-6831-5p
chr1:19344357-19357563,miR-6847-5p
chr1:19344357-19357563,miR-6864-3p
chr1:19344357-19357563,miR-766-3p
chr1:19344357-19357563,miR-7977
chr1:19344357-19357563,miR-7977
chr1:19344357-19357563,miR-935
chr1:19344357-19357563,miR-98-5p
chr1:19344357-19357563,miR-98-5p
chr1:19344357-19357563,miR-let-7-5p
chr1:200760838-200815644,miR-1-5p
chr1:200760838-200815644,miR-1-5p
chr1:200760838-200815644,miR-101-3p
chr1:200760838-200815644,miR-101-3p.2
chr1:200760838-200815644,miR-103a-3p
chr1:200760838-200815644,miR-105-5p
chr1:200760838-200815644,miR-107
chr1:200760838-200815644,miR-1206
chr1:200760838-200815644,miR-124-5p
chr1:200760838-200815644,miR-1250-3p
chr1:200760838-200815644,miR-1254
chr1:200760838-200815644,miR-127-5p
chr1:200760838-200815644,miR-1270
chr1:200760838-200815644,miR-128-3p
chr1:200760838-200815644,miR-1284
chr1:200760838-200815644,miR-129-5p
chr1:200760838-200815644,miR-1301-3p
chr1:200760838-200815644,miR-1304-5p
chr1:200760838-200815644,miR-1323
chr1:200760838-200815644,miR-134-3p
chr1:200760838-200815644,miR-1343-3p
chr1:200760838-200815644,miR-139-5p
chr1:200760838-200815644,miR-142-3p.1
chr1:200760838-200815644,miR-142-3p.2
chr1:200760838-200815644,miR-144-3p
chr1:200760838-200815644,miR-145-5p
chr1:200760838-200815644,miR-148a-5p
chr1:200760838-200815644,miR-152-3p
chr1:200760838-200815644,miR-152-5p
chr1:200760838-200815644,miR-152-5p
chr1:200760838-200815644,miR-154-3p
chr1:200760838-200815644,miR-16-1-3p
chr1:200760838-200815644,miR-16-2-3p
chr1:200760838-200815644,miR-182-3p
chr1:200760838-200815644,miR-182-3p
chr1:200760838-200815644,miR-186-5p
chr1:200760838-200815644,miR-192-5p
chr1:200760838-200815644,miR-193b-5p
chr1:200760838-200815644,miR-195-3p
chr1:200760838-200815644,miR-19a-5p
chr1:200760838-200815644,miR-19b-1-5p
chr1:200760838-200815644,miR-19b-2-5p
chr1:200760838-200815644,miR-200b-3p
chr1:200760838-200815644,miR-200bc-3p
chr1:200760838-200815644,miR-200c-3p
chr1:200760838-200815644,miR-203a-5p
chr1:200760838-200815644,miR-20b-3p
chr1:200760838-200815644,miR-2116-5p
chr1:200760838-200815644,miR-2116-5p
chr1:200760838-200815644,miR-215-5p
chr1:200760838-200815644,miR-218-1-3p
chr1:200760838-200815644,miR-218-2-3p
chr1:200760838-200815644,miR-218-2-3p
chr1:200760838-200815644,miR-22-5p
chr1:200760838-200815644,miR-22-5p
chr1:200760838-200815644,miR-224-3p
chr1:200760838-200815644,miR-2277-3p
chr1:200760838-200815644,miR-23-3p
chr1:200760838-200815644,miR-23b-5p
chr1:200760838-200815644,miR-2681-3p
chr1:200760838-200815644,miR-2681-5p
chr1:200760838-200815644,miR-27-3p
chr1:200760838-200815644,miR-28-3p
chr1:200760838-200815644,miR-3074-5p
chr1:200760838-200815644,miR-30a-3p
chr1:200760838-200815644,miR-30d-3p
chr1:200760838-200815644,miR-30e-3p
chr1:200760838-200815644,miR-3115
chr1:200760838-200815644,miR-3116
chr1:200760838-200815644,miR-3120-3p
chr1:200760838-200815644,miR-3133
chr1:200760838-200815644,miR-3136-3p
chr1:200760838-200815644,miR-3150a-5p
chr1:200760838-200815644,miR-3150b-3p
chr1:200760838-200815644,miR-3150b-5p
chr1:200760838-200815644,miR-3151-3p
chr1:200760838-200815644,miR-3157-5p
chr1:200760838-200815644,miR-3173-3p
chr1:200760838-200815644,miR-320a
chr1:200760838-200815644,miR-320b
chr1:200760838-200815644,miR-320c
chr1:200760838-200815644,miR-320d
chr1:200760838-200815644,miR-323-3p
chr1:200760838-200815644,miR-34c-5p
chr1:200760838-200815644,miR-3607-3p
chr1:200760838-200815644,miR-3607-3p
chr1:200760838-200815644,miR-3613-3p
chr1:200760838-200815644,miR-3616-5p
chr1:200760838-200815644,miR-3662
chr1:200760838-200815644,miR-3663-3p
chr1:200760838-200815644,miR-3672
chr1:200760838-200815644,miR-3674
chr1:200760838-200815644,miR-3690
chr1:200760838-200815644,miR-375
chr1:200760838-200815644,miR-377-3p
chr1:200760838-200815644,miR-378j
chr1:200760838-200815644,miR-3909
chr1:200760838-200815644,miR-3925-3p
chr1:200760838-200815644,miR-3926
chr1:200760838-200815644,miR-3928-5p
chr1:200760838-200815644,miR-3936
chr1:200760838-200815644,miR-4254
chr1:200760838-200815644,miR-4270
chr1:200760838-200815644,miR-4273
chr1:200760838-200815644,miR-4275
chr1:200760838-200815644,miR-4276
chr1:200760838-200815644,miR-429
chr1:200760838-200815644,miR-4305
chr1:200760838-200815644,miR-4326
chr1:200760838-200815644,miR-4328
chr1:200760838-200815644,miR-4328
chr1:200760838-200815644,miR-4427
chr1:200760838-200815644,miR-4428
chr1:200760838-200815644,miR-4429
chr1:200760838-200815644,miR-4436b-3p
chr1:200760838-200815644,miR-4441
chr1:200760838-200815644,miR-4459
chr1:200760838-200815644,miR-4474-3p
chr1:200760838-200815644,miR-4477b
chr1:200760838-200815644,miR-4495
chr1:200760838-200815644,miR-4496
chr1:200760838-200815644,miR-4499
chr1:200760838-200815644,miR-450b-5p
chr1:200760838-200815644,miR-4511
chr1:200760838-200815644,miR-452-3p
chr1:200760838-200815644,miR-4632-5p
chr1:200760838-200815644,miR-4633-3p
chr1:200760838-200815644,miR-4635
chr1:200760838-200815644,miR-4635
chr1:200760838-200815644,miR-4639-3p
chr1:200760838-200815644,miR-4643
chr1:200760838-200815644,miR-4645-3p
chr1:200760838-200815644,miR-4663
chr1:200760838-200815644,miR-4670-3p
chr1:200760838-200815644,miR-4677-5p
chr1:200760838-200815644,miR-4683
chr1:200760838-200815644,miR-4691-5p
chr1:200760838-200815644,miR-4693-3p
chr1:200760838-200815644,miR-4694-3p
chr1:200760838-200815644,miR-4695-5p
chr1:200760838-200815644,miR-4697-3p
chr1:200760838-200815644,miR-4712-5p
chr1:200760838-200815644,miR-4720-5p
chr1:200760838-200815644,miR-4724-3p
chr1:200760838-200815644,miR-4724-5p
