circbase	hg19	hg38	chrom	chromStart	chromEnd	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStarts
hsa_circ_0000002	chr1:1158623-1159348|-	chr1:1223243-1223968|-	chr1	1158623	1159348	1000	-	1158623	1159348	0,0,255	2	114,137	0,588
hsa_circ_0009244	chr1:1158623-1164326|-	chr1:1223243-1228946|-	chr1	1158623	1164326	1000	-	1158623	1164173	0,0,255	3	114,137,479	0,588,5224
hsa_circ_0007120	chr1:2234416-2236024|+	chr1:2302977-2304585|+	chr1	2234416	2236024	1000	+	2234416	2236024	255,0,0	4	126,116,263,293	0,307,862,1315
hsa_circ_0007804	chr1:5987708-5993389|-	chr1:5927648-5933329|-	chr1	5987708	5993389	1000	-	5987708	5993389	0,0,255	2	139,183	0,5498
hsa_circ_0009117	chr1:8555122-8674745|-	chr1:8495062-8614686|-	chr1	8555122	8674745	1000	-	8555122	8674745	0,0,255	7	100,125,49,105,97,106,126	0,2342,13563,46150,61411,62354,119497
hsa_circ_0005039	chr1:8674619-8716500|-	chr1:8614560-8656441|-	chr1	8674619	8716500	1000	-	8674619	8716356	0,0,255	3	126,71,469	0,9749,41412
hsa_circ_0000014	chr1:9991948-9994918|-	chr1:9931890-9934860|-	chr1	9991948	9994918	1000	-	9991948	9994918	0,0,255	3	82,96,99	0,912,2871
hsa_circ_0009759	chr1:11130956-11137005|-	chr1:11070899-11076948|-	chr1	11130956	11137005	1000	-	11130956	11137005	0,0,255	5	74,85,75,96,107	0,1187,3034,3331,5942
hsa_circ_0004222	chr1:12460237-12476880|+	chr1:12400180-12416827|+	chr1	12460237	12476880	1000	+	12460237	12476880	255,0,0	5	150,97,149,135,168	0,1423,3640,14902,16475
hsa_circ_0010146	chr1:16632297-16641930|-	chr1:16305802-16315435|-	chr1	16632297	16641930	1000	-	16632297	16641913	0,0,255	2	117,267	0,9366
hsa_circ_0010218	chr1:17907047-18014242|+	chr1:17580552-17687747|+	chr1	17907047	18014242	1000	+	17907090	18014242	255,0,0	26	80,186,34,92,84,176,117,109,107,78,180,117,93,174,146,15,182,116,128,101,122,87,224,155,149,175	0,6907,7893,21574,22955,27249,32505,35541,38786,41311,42443,43834,45403,46777,51768,53995,54282,57335,58009,59649,68001,74083,75326,76001,83894,107020
hsa_circ_0007296	chr1:21071236-21076375|-	chr1:20744743-20749882|-	chr1	21071236	21076375	1000	-	21071289	21076375	0,0,255	4	348,114,112,160	0,799,2800,4979
hsa_circ_0000023	chr1:21076215-21100103|-	chr1:20749722-20773610|-	chr1	21076215	21100103	1000	-	21076215	21100103	0,0,255	6	160,91,155,81,144,160	0,7443,15654,17861,21207,23728
hsa_circ_0000024	chr1:21083658-21100103|-	chr1:20757165-20773610|-	chr1	21083658	21100103	1000	-	21083658	21100103	0,0,255	5	91,155,81,144,160	0,8211,10418,13764,16285
hsa_circ_0000025	chr1:21295966-21307720|-	chr1:20969473-20981227|-	chr1	21295966	21307720	1000	-	21295966	21307720	0,0,255	4	123,98,115,180	0,3528,10860,11574
hsa_circ_0002166	chr1:22074630-22078108|-	chr1:21748137-21751615|-	chr1	22074630	22078108	1000	-	22074630	22078108	0,0,255	2	134,109	0,3369
