circRNA_DB	hg19	hg38	gene_symbol	genomic_length	transcript_id	spliced_length	exon_number	exon_sizes	exon_offsets	samples	pubmed_id
hsa_circ_00089	chr13:42385360-42393522|-	chr13:41811224-41819386|-	VWA8	8162	NM_001009814	363	3	116,78,169	0,5473,7993	H9 hESCs,normal brain tissue,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_00131	chr16:69189773-69201088|+	chr16:69155870-69167185|+	CIRH1A	11315	NM_032830	780	6	123,157,107,96,186,111	0,1213,4485,7212,9470,11204	H9 hESCs,Hs68,leukemia	25242744,23249747,22319583
hsa_circ_00164	chr2:20507738-20527139|-	chr2:20307977-20327378|-	PUM2	19401	NM_015317	901	6	94,271,170,188,109,69	0,336,3516,4258,10559,19332	H9 hESCs	25242744
hsa_circ_00269	chr1:51001040-51061888|-	chr1:50535368-50596216|-	FAF1	60848	NM_007051	750	7	89,137,155,82,64,127,96	0,4223,31708,47249,48283,49316,60752	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_00344	chr1:94685813-94697199|-	chr1:94220257-94231643|-	ARHGAP29	11386	NM_004815	372	2	135,237	0,11149	H9 hESCs,Hs68	25242744,23249747
hsa_circ_00391	chr2:225400244-225422573|-	chr2:224535527-224557856|-	CUL3	22329	NM_001257198	312	2	114,198	0,22131	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_00515	chr21:46548316-46554747|+	chr21:45128401-45134832|+	ADARB1	6431	uc002zgp.2	506	4	172,92,124,118	0,3813,5157,6313	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_00530	chr1:21071236-21076375|-	chr1:20744743-20749882|-	HP1BP3	5139	NM_016287	734	4	348,114,112,160	0,799,2800,4979	Hs68	23249747
hsa_circ_00656	chr19:3623685-3624160|-	chr19:3623687-3624162|-	CACTIN	475	NM_001080543	475	1	475	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_00693	chr21:42598192-42629253|+	chr21:41226265-41257326|+	BACE2	31061	NM_012105	991	7	89,217,129,135,102,150,169	0,11247,15553,17110,19696,24486,30892	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_00694	chr17:4186092-4200109|-	chr17:4282797-4296814|-	UBE2G1	14017	NM_003342	401	3	124,179,98	0,6432,13919	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_00730	chr3:195047613-195066046|-	chr3:195326884-195345317|-	ACAP2	18433	NM_012287	459	5	75,96,45,184,59	0,6143,10047,15586,18374	Hs68	23249747
