hg19	hg38	circBase	circAtlas	circBank	ArrayStar	HGNC	strand	spliced_length	circBase_type	CSCD_type	algorithm
chr10:102114183-102114389	chr10:100354426-100354632	hsa_circ_0092396	hsa-SCD_0002	hsa_circSCD_004	ASCRP3011615	SCD	+	206	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:102114183-102114389	chr10:100354426-100354632	hsa_circ_0092396	NA	hsa_circSCD_004	ASCRP3011615	SCD	NA	206	exonic	Intergenic	circRNA_finder
chr10:102777855-102778974	chr10:101018098-101019217	hsa_circ_0092414	hsa-PDZD7_0001	hsa_circPDZD7_001	ASCRP3003405	PDZD7	-	594	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:103384501-103436193	chr10:101624744-101676436	hsa_circ_0005741	hsa-FBXW4_000014	hsa_circFBXW4_010	ASCRP3007930	FBXW4	NA	576	exonic	Intergenic	circRNA_finder
chr10:103384501-103436193	chr10:101624744-101676436	hsa_circ_0005741	hsa-FBXW4_000014,hsa-FBXW4_0002	hsa_circFBXW4_010	ASCRP3007930	FBXW4	-	576	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:103427642-103436193	chr10:101667885-101676436	hsa_circ_0008362	hsa-FBXW4_000013	hsa_circFBXW4_008	ASCRP3004819	FBXW4	NA	510	exonic	Intergenic	circRNA_finder
chr10:103427642-103436193	chr10:101667885-101676436	hsa_circ_0008362	hsa-FBXW4_000013,hsa-FBXW4_0001	hsa_circFBXW4_008	ASCRP3004819	FBXW4	-	510	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:103432671-103436193	chr10:101672914-101676436	hsa_circ_0000255	hsa-FBXW4_000015	hsa_circFBXW4_007	ASCRP3007962	FBXW4	NA	415	exonic	Intergenic	circRNA_finder
chr10:103432671-103436193	chr10:101672914-101676436	hsa_circ_0000255	hsa-FBXW4_000015,hsa-FBXW4_0003	hsa_circFBXW4_007	ASCRP3007962	FBXW4	-	415	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:103552595-103570071	chr10:101792838-101810314	hsa_circ_0019607	hsa-MGEA5_000065	hsa_circMGEA5_021	ASCRP3011205	MGEA5	NA	1826	exonic	Intergenic	circRNA_finder
chr10:103552595-103570071	chr10:101792838-101810314	hsa_circ_0019607	hsa-MGEA5_000065,hsa-MGEA5_0001	hsa_circMGEA5_021	ASCRP3011205	MGEA5,OGA	-	1826	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:103766296-103766390	chr10:102006539-102006633	hsa_circ_0019646	NA	hsa_circC10orf76_039	ASCRP3003560	ARMH3,C10orf76	-	94	exonic	Exon,Intron	circexplorer2,circRNA_finder
