hg19	hg38	circBase	circAtlas	circBank	ArrayStar	HGNC	strand	spliced_length	circBase_type	CSCD_type	algorithm
chr10:102114183-102114389	chr10:100354426-100354632	hsa_circ_0092396	hsa-SCD_0002	hsa_circSCD_004	ASCRP3011615	SCD	+	206	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128973475-128975403	chr10:127175211-127177139	hsa_circ_0093074	hsa-FAM196A_0003	hsa_circFAM196A_002	ASCRP3000023	FAM196A,INSYN2A	-	1452	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:61592282-61612460	chr10:59832524-59852702	hsa_circ_0093792	hsa-CCDC6_000001,hsa-CCDC6_0006	hsa_circCCDC6_001	ASCRP3000014	CCDC6	-	279	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr11:102233626-102239279	chr11:102362895-102368548	hsa_circ_0004103	hsa-BIRC2_000009,hsa-BIRC2_0002	hsa_circBIRC2_003	ASCRP3000041	BIRC2	+	371	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr14:104219336-104220581	chr14:103752999-103754244	hsa_circ_0000572	hsa-PPP1R13B_000001,hsa-PPP1R13B_0005	hsa_circPPP1R13B_009	ASCRP3000063	PPP1R13B	-	372	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr14:31582309-31602881	chr14:31113103-31133675	hsa_circ_0031460	hsa-HECTD1_000018,hsa-HECTD1_0052	hsa_circHECTD1_064	ASCRP3000029	HECTD1	-	2572	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr14:58785259-58796887	chr14:58318541-58330169	hsa_circ_0000542	hsa-ARID4A_000050,hsa-ARID4A_0003	hsa_circARID4A_006	ASCRP3000018	ARID4A	+	632	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr14:97299803-97327072	chr14:96833466-96860735	hsa_circ_0000566	hsa-VRK1_000018,hsa-VRK1_0002	hsa_circVRK1_007	ASCRP3000042	VRK1	+	1073	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr15:73854236-73866136	chr15:73561895-73573795	hsa_circ_0007390	hsa-NPTN_000003,hsa-NPTN_0004	hsa_circNPTN_007	ASCRP3000016	NPTN	-	505	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr15:85657103-85664245	chr15:85113872-85121014	hsa_circ_0036629	hsa-PDE8A_000001,hsa-PDE8A_0033	hsa_circPDE8A_034	ASCRP3000048	PDE8A	+	767	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr15:93480747-93482948	chr15:92937517-92939718	hsa_circ_0000654	hsa-CHD2_000050,hsa-RP11-437B10_0002	hsa_circCHD2_018	ASCRP3000012	AC013394.1,CHD2	+	249	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr16:89849266-89849510	chr16:89782858-89783102	hsa_circ_0041050	hsa-FANCA_000011,hsa-FANCA_0002	hsa_circFANCA_039	ASCRP3000049	FANCA	-	156	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr17:3969740-3976050	chr17:4066446-4072756	hsa_circ_0004767	hsa-ZZEF1_000003,hsa-ZZEF1_0023	hsa_circZZEF1_033	ASCRP3000047	ZZEF1	-	564	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr18:20932159-20953727	chr18:23352195-23373763	hsa_circ_0047145	hsa-TMEM241_000004,hsa-TMEM241_0004	hsa_circTMEM241_009	ASCRP3000053	TMEM241	-	382	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr19:11015626-11019883	chr19:10904950-10909207	hsa_circ_0004552	hsa-CARM1_000009,hsa-CARM1_0001	hsa_circCARM1_003	ASCRP3000051	CARM1	+	338	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr1:200729966-200784772	chr1:200760838-200815644	hsa_circ_0015839	hsa-CAMSAP2_000012,hsa-CAMSAP2_0008	hsa_circCAMSAP2_007	ASCRP3000054	CAMSAP2	+	506	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr1:22816372-22818026	chr1:22489879-22491533	hsa_circ_0007418	hsa-ZBTB40_000001,hsa-ZBTB40_0002	hsa_circZBTB40_001	ASCRP3000003	ZBTB40	+	900	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
