circbank	hg19	hg38	aliasID	exonNumber	Exons	circType	splicedLength	Assembly	geneID	geneSymbol	bestTranscriptID	Biotype	Tissue	Age	samples	HighConfidence	source
hsa_AP2A2_0000100	chr11:1000431-1003804|+	chr11:1000431-1003804|+	"hsa_circ_0020749	hsa_circAP2A2_012	hsa-AP2A2_0004"	2.0	"1000431-1000598	1003721-1003804"	Exon-Exon	250	hg19	ENSG00000183020.9	AP2A2	ENST00000448903.2	protein_coding					
hsa_PSMD13_0000200	chr11:238997-244761|+	chr11:238997-244761|+	"hsa_circ_0095629	hsa_circPSMD13_002	hsa-PSMD13_0002"			Exon-Exon	595	hg19	ENSG00000185627.13	PSMD13	ENST00000534590.1	retained_intron					
hsa_PHRF1_0000300	chr11:581491-582081|+	chr11:581491-582081|+	"hsa_circ_0095989	hsa_circPHRF1_002	hsa-PHRF1_0005"	2.0	"581491-581606	581961-582081"	Exon-Exon	235	hg19	ENSG00000070047.7	PHRF1	ENST00000264555.5	protein_coding					
hsa_PHRF1_0001900	chr11:581964-605300|+	chr11:581964-605300|+	hsa-PHRF1_0060			Exon-Exon	1237	hg19	ENSG00000070047.7	PHRF1	ENST00000413872.2	protein_coding					
hsa_DEAF1_0002400	chr11:678024-678822|-	chr11:678024-678822|-	hsa-DEAF1_0006	1.0	678024-678822	Intron-Exon-Intron	798	hg19	ENSG00000177030.12	DEAF1	ENST00000382409.3	protein_coding					
hsa_TALDO1_0000500	chr11:755878-760253|+	chr11:755878-760253|+	"hsa_circ_0003307	hsa_circTALDO1_004	hsa-TALDO1_0002"	3.0	"755878-756002	758949-759057	760121-760253"	Exon-Exon	364	hg19	ENSG00000177156.6	TALDO1	ENST00000319006.3	protein_coding					
hsa_USP14_0003600	chr18:192841-199316|+	chr18:192841-199316|+	"hsa_circ_0002646	hsa_circUSP14_010	hsa-USP14_0016"	5.0	"192841-192900	196636-196767	197615-197696	198046-198132	199201-199316"	Exon-Exon	472	hg19	ENSG00000101557.10	USP14	ENST00000261601.7	protein_coding					
hsa_USP14_0004300	chr18:196636-199316|+	chr18:196636-199316|+	"hsa_circ_0007706	hsa_circUSP14_013	hsa-USP14_0015"	4.0	"196636-196767	197615-197696	198046-198132	199201-199316"	Exon-Exon	413	hg19	ENSG00000101557.10	USP14	ENST00000261601.7	protein_coding					
hsa_USP14_0004400	chr18:196636-203190|+	chr18:196636-203190|+	"hsa_circ_0002725	hsa_circUSP14_014	hsa-USP14_0004"	6.0	"196636-196767	197615-197696	198046-198132	199201-199316	202879-202945	203097-203190"	Exon-Exon	572	hg19	ENSG00000101557.10	USP14	ENST00000261601.7	protein_coding					
hsa_USP14_0004500	chr18:196636-204692|+	chr18:196636-204692|+	"hsa_circ_0005653	hsa_circUSP14_015	hsa-USP14_0009"	7.0	"196636-196767	197615-197696	198046-198132	199201-199316	202879-202945	203097-203190	204563-204692"	Exon-Exon	701	hg19	ENSG00000101557.10	USP14	ENST00000261601.7	protein_coding					
hsa_COLEC12_0000900	chr18:346294-357522|-	chr18:346294-357522|-	"hsa_circ_0108372	hsa_circCOLEC12_001	hsa-COLEC12_0001"	3.0	"346294-347341	348064-348163	357399-357522"	Exon-Exon	1269	hg19	ENSG00000158270.10	COLEC12	ENST00000582147.1	retained_intron					
hsa_DLGAP1_0012400	chr18:4106580-4151287|-	chr18:4106580-4151287|-	"hsa_circ_0108439	hsa_circDLGAP1_009	hsa-DLGAP1_0027"	1.0	4106580-4151287	Intron-Exon	44707	hg19	ENSG00000170579.10	DLGAP1	ENST00000515196.2	protein_coding					
hsa_CLUL1_0000300	chr18:617987-619361|+	chr18:617987-619361|+	hsa-CLUL1_0002	2.0	"617987-618106	619212-619361"	Exon-Exon	268	hg19	ENSG00000079101.12	CLUL1	ENST00000400606.2	protein_coding					
hsa_ENOSF1_0002100	chr18:683245-690631|-	chr18:683245-690631|-	hsa-ENOSF1_0078			Exon-Exon	341	hg19	ENSG00000132199.14	ENOSF1	ENST00000383578.3	protein_coding					
hsa_ENOSF1_0004700	chr18:688573-706578|-	chr18:688573-706578|-	hsa-ENOSF1_0014			Exon-Exon	453	hg19	ENSG00000132199.14	ENOSF1	ENST00000383578.3	protein_coding					
hsa_ENOSF1_0005700	chr18:693881-697355|-	chr18:693881-697355|-	hsa-ENOSF1_0012	3.0	"693881-693908	694247-694334	697239-697355"	Exon-Exon	230	hg19	ENSG00000132199.14	ENOSF1	ENST00000539164.1	protein_coding					
hsa_ENOSF1_0007200	chr18:708831-709155|-	chr18:708831-709155|-	hsa-ENOSF1_0070	1.0	708831-709155	Intron-Intron	324	hg19	ENSG00000132199.14	ENOSF1	ENST00000340116.7	protein_coding					
hsa_YES1_0004000	chr18:751704-756835|-	chr18:751704-756835|-	hsa-YES1_0004	2.0	"751704-751804	756556-756835"	Exon-Exon	379	hg19	ENSG00000176105.9	YES1	ENST00000584307.1	protein_coding					
hsa_YES1_0004200	chr18:756556-756835|-	chr18:756556-756835|-	"hsa_circ_0046702	hsa_circYES1_002	hsa-YES1_0010"	1.0	756556-756835	Exon-Exon	279	hg19	ENSG00000176105.9	YES1	ENST00000584307.1	protein_coding					
hsa_MIER2_0002300	chr19:325634-336173|-	chr19:325634-336173|-	"hsa_circ_0002005	hsa_circMIER2_006	hsa-MIER2_0001"	6.0	"325634-325704	326506-326598	327132-327256	327863-327989	334399-334542	336082-336173"	Exon-Exon	646	hg19	ENSG00000105556.6	MIER2	ENST00000264819.4	protein_coding					
hsa_SHC2_0002600	chr19:438717-439491|-	chr19:438717-439491|-	hsa-SHC2_0008			Intron-Exon-Intron	642	hg19	ENSG00000129946.6	SHC2	ENST00000264554.6	protein_coding					
hsa_MADCAM1_0000100	chr19:501668-501929|+	chr19:501668-501929|+	hsa-MADCAM1_0001	1.0	501668-501929	Exon-Exon	261	hg19	ENSG00000099866.10	MADCAM1	ENST00000215637.3	protein_coding					
hsa_RNF126_0000600	chr19:651610-652884|-	chr19:651610-652884|-	hsa-RNF126_0001	3.0	"651610-651855	652232-652296	652825-652884"	Exon-Exon	368	hg19	ENSG00000070423.13	RNF126	ENST00000292363.5	protein_coding					
hsa_PALM_0000900	chr19:726137-727694|+	chr19:726137-727694|+	"hsa_circ_0110035	hsa_circPALM_002	hsa-PALM_0002"	3.0	"726137-726189	727007-727088	727563-727694"	Exon-Exon	264	hg19	ENSG00000099864.13	PALM	ENST00000338448.5	protein_coding					
hsa_EXOC2_0009100	chr6:592468-599225|-	chr6:592468-599225|-	"hsa_circ_0075436	hsa_circEXOC2_028	hsa-EXOC2_0025"	4.0	"592468-592587	598020-598123	598859-598941	599079-599225"	Exon-Exon	450	hg19	ENSG00000112685.9	EXOC2	ENST00000230449.4	protein_coding					
hsa_EXOC2_0009200	chr6:592468-619543|-	chr6:592468-619543|-	"hsa_circ_0075437	hsa_circEXOC2_017	hsa-EXOC2_0008"	7.0	"592468-592587	598020-598123	598859-598941	599079-599225	610097-610178	617710-617835	619429-619543"	Exon-Exon	770	hg19	ENSG00000112685.9	EXOC2	ENST00000230449.4	protein_coding					
hsa_EXOC2_0011900	chr6:629834-637861|-	chr6:629834-637861|-	"hsa_circ_0075445	hsa_circEXOC2_004	hsa-EXOC2_0042"	3.0	"629834-629961	632940-633117	637700-637861"	Exon-Exon	465	hg19	ENSG00000112685.9	EXOC2	ENST00000443083.1	protein_coding					
hsa_RP11-532F6.4_0000700	chr6:744851-750755|+	chr6:744851-750755|+	hsa-RP11-532F6_0003			Intron-Intergenic	3297	hg19	ENSG00000271727.1	RP11-532F6.4	ENST00000607644.1	lincRNA					
