circbank	hg19	hg38	aliasID	exonNumber	Exons	circType	splicedLength	Assembly	geneID	geneSymbol	bestTranscriptID	Biotype	Tissue	Age	samples	HighConfidence	source
hsa_AP2A2_0000100	chr11:1000431-1003804|+	chr11:1000431-1003804|+	"hsa_circ_0020749	hsa_circAP2A2_012	hsa-AP2A2_0004"	2.0	"1000431-1000598	1003721-1003804"	Exon-Exon	250	hg19	ENSG00000183020.9	AP2A2	ENST00000448903.2	protein_coding					
hsa_SIRT3_0000300	chr11:224077-233215|-	chr11:224077-233215|-	"hsa_circ_0006467	hsa_circSIRT3_003	hsa-SIRT3_0008"	3.0	"224077-224239	230451-230552	232982-233215"	Exon-Exon	496	hg19	ENSG00000142082.10	SIRT3	ENST00000382743.4	protein_coding					
hsa_PSMD13_0000200	chr11:238997-244761|+	chr11:238997-244761|+	"hsa_circ_0095629	hsa_circPSMD13_002	hsa-PSMD13_0002"			Exon-Exon	595	hg19	ENSG00000185627.13	PSMD13	ENST00000534590.1	retained_intron					
hsa_PHRF1_0000300	chr11:581491-582081|+	chr11:581491-582081|+	"hsa_circ_0095989	hsa_circPHRF1_002	hsa-PHRF1_0005"	2.0	"581491-581606	581961-582081"	Exon-Exon	235	hg19	ENSG00000070047.7	PHRF1	ENST00000264555.5	protein_coding					
hsa_TALDO1_0000500	chr11:755878-760253|+	chr11:755878-760253|+	"hsa_circ_0003307	hsa_circTALDO1_004	hsa-TALDO1_0002"	3.0	"755878-756002	758949-759057	760121-760253"	Exon-Exon	364	hg19	ENSG00000177156.6	TALDO1	ENST00000319006.3	protein_coding					
hsa_USP14_0004300	chr18:196636-199316|+	chr18:196636-199316|+	"hsa_circ_0007706	hsa_circUSP14_013	hsa-USP14_0015"	4.0	"196636-196767	197615-197696	198046-198132	199201-199316"	Exon-Exon	413	hg19	ENSG00000101557.10	USP14	ENST00000261601.7	protein_coding					
hsa_USP14_0004400	chr18:196636-203190|+	chr18:196636-203190|+	"hsa_circ_0002725	hsa_circUSP14_014	hsa-USP14_0004"	6.0	"196636-196767	197615-197696	198046-198132	199201-199316	202879-202945	203097-203190"	Exon-Exon	572	hg19	ENSG00000101557.10	USP14	ENST00000261601.7	protein_coding					
hsa_USP14_0004500	chr18:196636-204692|+	chr18:196636-204692|+	"hsa_circ_0005653	hsa_circUSP14_015	hsa-USP14_0009"	7.0	"196636-196767	197615-197696	198046-198132	199201-199316	202879-202945	203097-203190	204563-204692"	Exon-Exon	701	hg19	ENSG00000101557.10	USP14	ENST00000261601.7	protein_coding					
hsa_THOC1_0002200	chr18:218885-224994|-	chr18:218885-224994|-	hsa-THOC1_0088			Exon-Exon	338	hg19	ENSG00000079134.7	THOC1	ENST00000579891.1	protein_coding					
hsa_DLGAP1_0012400	chr18:4106580-4151287|-	chr18:4106580-4151287|-	"hsa_circ_0108439	hsa_circDLGAP1_009	hsa-DLGAP1_0027"	1.0	4106580-4151287	Intron-Exon	44707	hg19	ENSG00000170579.10	DLGAP1	ENST00000515196.2	protein_coding					
hsa_ENOSF1_0002100	chr18:683245-690631|-	chr18:683245-690631|-	hsa-ENOSF1_0078			Exon-Exon	341	hg19	ENSG00000132199.14	ENOSF1	ENST00000383578.3	protein_coding					
hsa_ENOSF1_0004700	chr18:688573-706578|-	chr18:688573-706578|-	hsa-ENOSF1_0014			Exon-Exon	453	hg19	ENSG00000132199.14	ENOSF1	ENST00000383578.3	protein_coding					
hsa_ENOSF1_0007200	chr18:708831-709155|-	chr18:708831-709155|-	hsa-ENOSF1_0070	1.0	708831-709155	Intron-Intron	324	hg19	ENSG00000132199.14	ENOSF1	ENST00000340116.7	protein_coding					
hsa_YES1_0004000	chr18:751704-756835|-	chr18:751704-756835|-	hsa-YES1_0004	2.0	"751704-751804	756556-756835"	Exon-Exon	379	hg19	ENSG00000176105.9	YES1	ENST00000584307.1	protein_coding					
hsa_YES1_0004200	chr18:756556-756835|-	chr18:756556-756835|-	"hsa_circ_0046702	hsa_circYES1_002	hsa-YES1_0010"	1.0	756556-756835	Exon-Exon	279	hg19	ENSG00000176105.9	YES1	ENST00000584307.1	protein_coding					
hsa_MIER2_0002300	chr19:325634-336173|-	chr19:325634-336173|-	"hsa_circ_0002005	hsa_circMIER2_006	hsa-MIER2_0001"	6.0	"325634-325704	326506-326598	327132-327256	327863-327989	334399-334542	336082-336173"	Exon-Exon	646	hg19	ENSG00000105556.6	MIER2	ENST00000264819.4	protein_coding					
hsa_MADCAM1_0000100	chr19:501668-501929|+	chr19:501668-501929|+	hsa-MADCAM1_0001	1.0	501668-501929	Exon-Exon	261	hg19	ENSG00000099866.10	MADCAM1	ENST00000215637.3	protein_coding					
hsa_EXOC2_0011900	chr6:629834-637861|-	chr6:629834-637861|-	"hsa_circ_0075445	hsa_circEXOC2_004	hsa-EXOC2_0042"	3.0	"629834-629961	632940-633117	637700-637861"	Exon-Exon	465	hg19	ENSG00000112685.9	EXOC2	ENST00000443083.1	protein_coding					
hsa_RP11-532F6.4_0000700	chr6:744851-750755|+	chr6:744851-750755|+	hsa-RP11-532F6_0003			Intron-Intergenic	3297	hg19	ENSG00000271727.1	RP11-532F6.4	ENST00000607644.1	lincRNA					
hsa_RP11-532F6.4_0001000	chr6:746309-750755|+	chr6:746309-750755|+	hsa-RP11-532F6_0002			Intron-Intergenic	1839	hg19	ENSG00000271727.1	RP11-532F6.4	ENST00000607644.1	lincRNA					
hsa_PTPRD_0008800	chr9:10340962-10354804|-	chr9:10340962-10354804|-	"hsa_circ_0137585	hsa_circPTPRD_014	hsa-PTPRD_0108"	1.0	10340962-10354804	Intron-Exon-Intron	13842	hg19	ENSG00000153707.11	PTPRD	ENST00000463477.1	protein_coding					
hsa_CBWD1_0001300	chr9:162431-172172|-	chr9:162431-172172|-	"hsa_circ_0005769	hsa_circCBWD1_002	hsa-CBWD1_0008"	3.0	"162431-162469	163977-164037	172080-172172"	Exon-Exon	190	hg19	ENSG00000172785.14	CBWD1	ENST00000431099.2	protein_coding					
hsa_SMARCA2_0016300	chr9:2096656-2110417|+	chr9:2096656-2110417|+	hsa-SMARCA2_0045			Exon-Exon	573	hg19	ENSG00000080503.15	SMARCA2	ENST00000382203.1	protein_coding					
hsa_SMARCA2_0022800	chr9:2191265-2192802|+	chr9:2191265-2192802|+	"hsa_circ_0006082	hsa_circSMARCA2_035	hsa-SMARCA2_0089"	2.0	"2191265-2191408	2192703-2192802"	Exon-Exon	242	hg19	ENSG00000080503.15	SMARCA2	ENST00000324954.5	protein_coding					
hsa_DOCK8_0001400	chr9:271626-289581|+	chr9:271626-289581|+	"hsa_circ_0086188	hsa_circDOCK8_002	hsa-DOCK8_0027"	3.0	"271626-271729	286460-286636	289509-289581"	Exon-Exon	351	hg19	ENSG00000107099.11	DOCK8	ENST00000432829.2	protein_coding					
hsa_KIAA0020_0005600	chr9:2782755-2783594|-	chr9:2782755-2783594|-	hsa-PUM3_0032			Intron-Exon-Intron	839	hg19	ENSG00000080608.9	KIAA0020	ENST00000490444.2	nonsense_mediated_decay					
hsa_CARM1P1_0002500	chr9:2943564-2948282|-	chr9:2943564-2948282|-	"hsa_circ_0138598	hsa_circTCONS_l2_00029182_004	hsa-CARM1P1_0004"	2.0	"2943564-2943655	2948104-2948282"	Exon-Exon	269	hg19	ENSG00000227835.4	CARM1P1	ENST00000426329.2	transcribed_unprocessed_pseudogene					
hsa_CARM1P1_0005500	chr9:3012923-3053412|-	chr9:3012923-3053412|-	"hsa_circ_0138607	hsa_circCARM1P1_001	hsa-CARM1P1_0001"			Exon-Intergenic	338	hg19	ENSG00000227835.4	CARM1P1	ENST00000426329.2	transcribed_unprocessed_pseudogene					
hsa_RFX3_0010100	chr9:3293076-3330517|-	chr9:3293076-3330517|-	hsa-RFX3_0133			Exon-Exon	516	hg19	ENSG00000080298.11	RFX3	ENST00000382004.3	protein_coding					
hsa_RFX3_0015800	chr9:3395471-3420870|-	chr9:3395471-3420870|-	"hsa_circ_0138663	hsa_circRFX3_011	hsa-RFX3_0045"	1.0	3395471-3420870	Intron-Exon-Intron	25399	hg19	ENSG00000080298.11	RFX3	ENST00000449190.1	protein_coding					
hsa_RP11-509J21.1_0003000	chr9:3546777-3633465|+	chr9:3546777-3633465|+	hsa-RFX3-AS1_0011			Intron-Exon-Intron	27066	hg19	ENSG00000232104.2	RP11-509J21.1	ENST00000423112.2	lincRNA					
hsa_RP11-509J21.1_0003300	chr9:3546777-3651867|+	chr9:3546777-3651867|+	hsa-RFX3-AS1_0002			Intron-Exon-Intron	45468	hg19	ENSG00000232104.2	RP11-509J21.1	ENST00000423112.2	lincRNA					
hsa_RP11-509J21.1_0004400	chr9:3602522-3633465|+	chr9:3602522-3633465|+	hsa-RFX3-AS1_0003			Intron-Exon-Intron	26835	hg19	ENSG00000232104.2	RP11-509J21.1	ENST00000423112.2	lincRNA					
hsa_GLIS3_0001300	chr9:3879426-3932470|-	chr9:3879426-3932470|-	"hsa_circ_0138779	hsa_circGLIS3_015	hsa-GLIS3_0012"	3.0	"3879426-3879595	3898690-3898835	3932359-3932470"	Exon-Exon	425	hg19	ENSG00000107249.17	GLIS3	ENST00000467497.2	retained_intron					
