hg19	hg38	circBase	circAtlas	circBank	ArrayStar	HGNC	strand	spliced_length	circBase_type	CSCD_type	algorithm
chr10:101553648-101572901	chr10:99793891-99813144	hsa_circ_0019442	NA	hsa_circABCC2_014	ASCRP3004592	ABCC2	+	1626	exonic	NA	NA
chr10:101645443-101646389	chr10:99885686-99886632	NA	hsa-DNMBP_0017	NA	ASCRP3005477	DNMBP	-	NA	exonic	NA	NA
chr10:101654702-101656154	chr10:99894945-99896397	hsa_circ_0092382	NA	hsa_circDNMBP_013	ASCRP3002018	DNMBP	NA	236	exonic	Intergenic	circrna_finder
chr10:101654702-101656154	chr10:99894945-99896397	hsa_circ_0092382	hsa-DNMBP_0008	hsa_circDNMBP_013	ASCRP3002018	DNMBP	-	236	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:101996606-101997988	chr10:100236849-100238231	hsa_circ_0019504	NA	hsa_circCWF19L1_012	ASCRP3002037	CWF19L1	NA	330	exonic	Intergenic	circrna_finder
chr10:101996606-101997988	chr10:100236849-100238231	hsa_circ_0019504	hsa-CWF19L1_0008	hsa_circCWF19L1_012	ASCRP3002037	CWF19L1	-	330	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:102019974-102021820	chr10:100260217-100262063	hsa_circ_0006718	hsa-CWF19L1_000001	hsa_circCWF19L1_002	ASCRP3004356	CWF19L1	NA	266	exonic	Intergenic	circrna_finder
chr10:102019974-102021820	chr10:100260217-100262063	hsa_circ_0006718	hsa-CWF19L1_000001,hsa-CWF19L1_0003	hsa_circCWF19L1_002	ASCRP3004356	CWF19L1	-	266	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:102114183-102114389	chr10:100354426-100354632	hsa_circ_0092396	hsa-SCD_0002	hsa_circSCD_004	ASCRP3011615	SCD	+	206	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:102114183-102114389	chr10:100354426-100354632	hsa_circ_0092396	NA	hsa_circSCD_004	ASCRP3011615	SCD	NA	206	exonic	Intergenic	circrna_finder
chr10:102683731-102685776	chr10:100923974-100926019	hsa_circ_0006654	hsa-FAM178A_000066,hsa-SLF2_0001	hsa_circFAM178A_011	ASCRP3000466	FAM178A,SLF2	+	1069	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:102683731-102685776	chr10:100923974-100926019	hsa_circ_0006654	hsa-FAM178A_000066	hsa_circFAM178A_011	ASCRP3000466	FAM178A	NA	1069	exonic	Intergenic	circrna_finder
chr10:102777855-102778974	chr10:101018098-101019217	hsa_circ_0092414	hsa-PDZD7_0001	hsa_circPDZD7_001	ASCRP3003405	PDZD7	-	594	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
