circbase	hg19	hg38	chrom	chromStart	chromEnd	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStarts
hsa_circ_0006467	chr11:224077-233215|-	chr11:224077-233215|-	chr11	224077	233215	1000	-	224077	233215	0,0,255	3	162,101,233	0,6374,8905
hsa_circ_0003307	chr11:755878-760253|+	chr11:755878-760253|+	chr11	755878	760253	1000	+	755878	760253	255,0,0	3	124,108,132	0,3071,4243
hsa_circ_0020749	chr11:1000431-1003804|+	chr11:1000431-1003804|+	chr11	1000431	1003804	1000	+	1000431	1003804	255,0,0	2	167,83	0,3290
hsa_circ_0007706	chr18:196636-199316|+	chr18:196636-199316|+	chr18	196636	199316	1000	+	196636	199316	255,0,0	4	131,81,86,115	0,979,1410,2565
hsa_circ_0002725	chr18:196636-203190|+	chr18:196636-203190|+	chr18	196636	203190	1000	+	196636	203190	255,0,0	6	131,81,86,115,66,93	0,979,1410,2565,6243,6461
hsa_circ_0005653	chr18:196636-204692|+	chr18:196636-204692|+	chr18	196636	204692	1000	+	196636	204692	255,0,0	7	131,81,86,115,66,93,129	0,979,1410,2565,6243,6461,7927
hsa_circ_0046702	chr18:756556-756835|-	chr18:756556-756835|-	chr18	756556	756835	1000	-	756556	756827	0,0,255	1	279	0
hsa_circ_0002005	chr19:325634-336173|-	chr19:325634-336173|-	chr19	325634	336173	1000	-	325634	336173	0,0,255	6	70,92,124,126,143,91	0,872,1498,2229,8765,10448
hsa_circ_0075445	chr6:629834-637861|-	chr6:629834-637861|-	chr6	629834	637861	1000	-	629834	637818	0,0,255	3	127,177,161	0,3106,7866
hsa_circ_0005769	chr9:162431-172172|-	chr9:162431-172172|-	chr9	162431	172172	1000	-	162431	172172	0,0,255	3	38,60,92	0,1546,9649
hsa_circ_0086188	chr9:271626-289581|+	chr9:271626-289581|+	chr9	271626	289581	1000	+	271626	289581	255,0,0	3	103,176,72	0,14834,17883
hsa_circ_0005062	chr9:710803-713464|+	chr9:710803-713464|+	chr9	710803	713464	1000	+	711240	713464	255,0,0	1	2661	0
hsa_circ_0007075	chr9:734747-740934|+	chr9:734747-740934|+	chr9	734747	740934	1000	+	734747	740934	255,0,0	3	88,220,143	0,3537,6044
hsa_circ_0006082	chr9:2191265-2192802|+	chr9:2191265-2192802|+	chr9	2191265	2192802	1000	+	2191265	2192739	255,0,0	2	143,99	0,1438
hsa_circ_0004221	chr9:3879426-3937189|-	chr9:3879426-3937189|-	chr9	3879426	3937189	1000	-	3879426	3937189	0,0,255	4	169,145,111,162	0,19264,52933,57601
hsa_circ_0006370	chr9:4117767-4118881|-	chr9:4117767-4118881|-	chr9	4117767	4118881	1000	-	4117767	4118881	0,0,255	1	1114	0
hsa_circ_0007368	chr9:4117767-4125941|-	chr9:4117767-4125941|-	chr9	4117767	4125941	1000	-	4117767	4125941	0,0,255	2	1114,208	0,7966
hsa_circ_0002874	chr9:4286037-4286523|-	chr9:4286037-4286523|-	chr9	4286037	4286523	1000	-	4286037	4286425	0,0,255	1	486	0
hsa_circ_0007592	chr9:4860124-4860901|+	chr9:4860124-4860901|+	chr9	4860124	4860901	1000	+	4860124	4860275	255,0,0	1	777	0
hsa_circ_0008571	chr9:5021962-5055788|+	chr9:5021962-5055788|+	chr9	5021962	5055788	1000	+	5021987	5055788	255,0,0	6	251,124,118,146,322,120	0,7820,22440,28723,32600,33706
hsa_circ_0086293	chr9:5825091-5831028|-	chr9:5825091-5831028|-	chr9	5825091	5831028	1000	-	5825091	5831028	0,0,255	2	128,302	0,5635
hsa_circ_0086296	chr9:6420911-6421142|+	chr9:6420911-6421142|+	chr9	6420911	6421142	1000	+	6420911	6421142	255,0,0	1	231	0
hsa_circ_0002359	chr9:6420911-6434173|+	chr9:6420911-6434173|+	chr9	6420911	6434173	1000	+	6420911	6434173	255,0,0	2	231,260	0,13002
hsa_circ_0086306	chr9:6475390-6477808|+	chr9:6475390-6477808|+	chr9	6475390	6477808	1000	+	6475390	6477808	255,0,0	2	110,187	0,2231
hsa_circ_0003124	chr9:6849506-6893232|+	chr9:6849506-6893232|+	chr9	6849506	6893232	1000	+	6849506	6893232	255,0,0	4	194,50,104,138	0,30505,38453,43588
hsa_circ_0001839	chr9:6880011-6893232|+	chr9:6880011-6893232|+	chr9	6880011	6893232	1000	+	6880011	6893232	255,0,0	3	50,104,138	0,7948,13083
